month,open,high,low,close
2016-12,261.6,262.7,260.2,261.8
2017-01,268.5,269.3,266.6,268.1
2017-02,274.9,276.2,273.8,275.4
2017-03,276.3,277.5,275.3,276.2
2017-04,284.3,286.0,282.5,283.8
2017-05,280.2,280.6,276.9,277.8
2017-06,278.7,279.5,277.1,278.2
2017-07,271.4,272.2,270.1,271.1
2017-08,276.9,277.5,275.2,276.2
2017-09,279.9,280.7,278.4,279.5
2017-10,275.9,276.3,274.5,275.2
2017-11,275.3,275.6,274.0,274.8
2017-12,271.4,271.7,269.8,270.7
2018-01,277.2,277.7,276.1,276.7
2018-02,272.2,272.8,270.5,271.6
2018-03,271.9,272.3,270.5,271.4
2018-04,272.7,273.0,271.6,272.2
2018-05,269.3,269.5,267.9,268.5
2018-06,268.4,268.6,267.1,267.7
2018-07,268.7,269.0,267.5,268.1
2018-08,266.4,266.9,265.1,265.8
2018-09,266.4,266.6,265.1,265.7
2018-10,273.5,274.3,271.8,273.2
2018-11,274.2,274.7,272.9,273.7
2018-12,278.7,279.3,277.7,278.7
2019-01,284.7,285.6,283.1,284.3
2019-02,289.0,289.9,286.8,288.5
2019-03,285.0,285.5,282.9,284.0
2019-04,282.2,282.6,280.5,281.4
2019-05,286.4,287.3,285.2,286.5
2019-06,304.5,306.8,302.0,304.9
2019-07,316.5,318.2,313.3,315.5
2019-08,343.3,346.7,339.4,343.2
2019-09,349.9,351.1,345.9,348.1
2019-10,340.0,344.0,336.8,342.0
2019-11,334.8,335.5,331.4,333.5
2019-12,336.1,337.0,334.0,335.6
2020-01,347.8,350.1,344.5,347.2
2020-02,360.2,361.8,356.8,359.4
2020-03,359.7,362.6,352.7,357.3
2020-04,374.1,376.2,369.2,373.0
2020-05,389.4,390.6,385.3,388.3
2020-06,392.7,393.6,389.6,391.4
2020-07,406.8,409.7,404.0,407.0
2020-08,424.0,428.6,419.1,423.6
2020-09,411.8,414.3,408.6,411.3
2020-10,403.8,405.2,401.2,403.1
2020-11,394.0,395.7,386.3,393.0
2020-12,385.0,388.2,383.3,386.3
2021-01,389.3,391.4,386.5,389.1
2021-02,378.5,380.8,375.1,378.0
2021-03,362.8,364.8,359.9,362.5
2021-04,370.0,372.0,368.1,370.4
2021-05,384.4,387.4,383.1,385.8
2021-06,379.1,380.7,374.4,378.4
2021-07,375.8,377.7,374.3,376.5
2021-08,373.2,375.2,370.5,372.9
2021-09,373.3,373.8,370.2,371.8
2021-10,368.7,370.3,361.4,368.6
2021-11,374.8,376.6,372.7,374.8
2021-12,368.7,370.8,358.4,368.9
2022-01,373.1,374.6,367.5,372.8
2022-02,380.6,383.9,372.3,382.1
2022-03,396.7,400.0,394.0,397.2
2022-04,400.6,402.5,398.8,400.9
2022-05,399.8,401.4,397.7,399.5
2022-06,397.3,398.4,394.3,396.1
2022-07,378.9,380.6,375.5,378.0
2022-08,388.1,389.8,384.2,388.2
2022-09,386.7,388.0,384.9,386.9
2022-10,391.6,393.0,390.8,391.9
2022-11,402.1,403.7,399.4,402.1
2022-12,405.8,407.6,404.5,406.6
2023-01,415.4,417.1,413.6,416.0
2023-02,414.9,416.2,412.9,414.4
2023-03,427.8,431.5,425.5,428.8
2023-04,444.8,446.1,442.0,444.3
2023-05,451.8,453.0,447.5,449.3
2023-06,453.8,454.0,447.7,449.4
2023-07,456.7,457.4,452.9,454.5
2023-08,463.3,464.0,456.1,457.2
2023-09,470.4,471.9,466.0,468.0
2023-10,461.5,468.0,460.2,464.5
2023-11,469.5,472.2,468.3,470.7
2023-12,475.4,479.1,472.7,475.5
2024-01,479.5,482.0,477.9,479.4
2024-02,480.0,481.6,478.9,480.1
2024-03,504.4,508.4,503.2,506.4
2024-04,551.2,557.4,547.6,552.7
2024-05,554.8,558.8,551.8,555.0
2024-06,549.4,552.9,547.0,550.0
2024-07,559.9,563.8,557.2,560.8
2024-08,566.8,570.0,563.5,567.8
2024-09,581.3,583.6,578.7,581.8
2024-10,612.1,618.0,609.5,614.5
2024-11,613.1,616.7,607.8,611.6
2024-12,616.7,620.0,614.1,617.6
2025-01,633.2,636.7,630.9,634.5
2025-02,679.9,683.4,675.3,679.7
2025-03,693.0,697.3,690.9,695.5
2025-04,763.6,773.6,756.1,765.8
2025-05,767.5,776.5,761.0,768.8
2025-06,781.1,783.6,772.1,777.0
2025-07,772.2,775.9,768.8,772.9
2025-08,775.2,778.5,773.4,775.9
2025-09,828.8,836.1,825.2,831.8
2025-10,936.9,951.5,924.8,938.6
2025-11,932.6,939.8,924.7,932.8
2025-12,972.9,980.5,956.9,973.1
2026-01,1062.5,1080.0,1045.7,1070.7
2026-02,1124.2,1140.3,1092.7,1116.8
2026-03,1096.0,1114.2,1070.7,1087.0
2026-04,1041.0,1052.3,1030.0,1040.2
2026-05,1008.2,1014.9,997.1,1005.6
2026-06,932.6,939.8,918.9,927.6
2026-07,888.8,898.5,882.1,889.6
