month,aux_usd
2006-07,627.5
2006-08,630.6
2006-09,598.6
2006-10,587.6
2006-11,628.7
2006-12,628.5
2007-01,631.3
2007-02,665.2
2007-03,654.5
2007-04,679.8
2007-05,667.6
2007-06,655.4
2007-07,665.6
2007-08,665.9
2007-09,713.6
2007-10,756.9
2007-11,806.2
2007-12,807.1
2008-01,888.4
2008-02,925.6
2008-03,960.9
2008-04,910.5
2008-05,890.8
2008-06,890.6
2008-07,940.1
2008-08,836.8
2008-09,828.7
2008-10,805.0
2008-11,760.5
2008-12,826.0
2009-01,862.7
2009-02,941.8
2009-03,926.9
2009-04,890.8
2009-05,930.4
2009-06,945.6
2009-07,935.1
2009-08,949.7
2009-09,990.5
2009-10,1044.7
2009-11,1131.6
2009-12,1127.4
2010-01,1117.8
2010-02,1097.5
2010-03,1114.3
2010-04,1149.4
2010-05,1206.1
2010-06,1233.6
2010-07,1192.7
2010-08,1217.7
2010-09,1272.2
2010-10,1344.6
2010-11,1371.8
2010-12,1392.4
2011-01,1360.7
2011-02,1374.9
2011-03,1422.5
2011-04,1484.9
2011-05,1512.1
2011-06,1528.1
2011-07,1574.2
2011-08,1763.0
2011-09,1771.0
2011-10,1670.8
2011-11,1739.1
2011-12,1639.9
2012-01,1661.0
2012-02,1741.2
2012-03,1676.4
2012-04,1649.5
2012-05,1587.4
2012-06,1600.1
2012-07,1593.0
2012-08,1630.0
2012-09,1745.6
2012-10,1744.1
2012-11,1722.2
2012-12,1682.6
2013-01,1670.3
2013-02,1626.8
2013-03,1593.4
2013-04,1484.8
2013-05,1416.3
2013-06,1342.2
2013-07,1287.6
2013-08,1353.3
2013-09,1350.7
2013-10,1315.7
2013-11,1274.9
2013-12,1221.3
2014-01,1243.6
2014-02,1302.8
2014-03,1334.5
2014-04,1298.8
2014-05,1288.1
2014-06,1282.3
2014-07,1311.8
2014-08,1295.4
2014-09,1237.7
2014-10,1222.8
2014-11,1177.0
2014-12,1196.2
2015-01,1251.3
2015-02,1226.6
2015-03,1179.6
2015-04,1199.7
2015-05,1198.9
2015-06,1182.2
2015-07,1130.6
2015-08,1119.3
2015-09,1125.1
2015-10,1157.6
2015-11,1084.8
2015-12,1068.7
2016-01,1095.7
2016-02,1200.6
2016-03,1243.8
2016-04,1242.1
2016-05,1256.2
2016-06,1276.2
2016-07,1339.7
2016-08,1338.5
2016-09,1326.2
2016-10,1265.3
2016-11,1235.5
2016-12,1149.9
2017-01,1191.7
2017-02,1234.4
2017-03,1230.8
2017-04,1267.4
2017-05,1245.7
2017-06,1260.3
2017-07,1236.4
2017-08,1283.7
2017-09,1316.1
2017-10,1280.9
2017-11,1282.6
2017-12,1265.8
2018-01,1330.5
2018-02,1331.6
2018-03,1325.4
2018-04,1334.6
2018-05,1303.8
2018-06,1281.4
2018-07,1238.0
2018-08,1201.1
2018-09,1197.9
2018-10,1215.6
2018-11,1220.4
2018-12,1253.1
2019-01,1291.4
2019-02,1320.2
2019-03,1300.6
2019-04,1286.4
2019-05,1284.3
2019-06,1360.8
2019-07,1413.9
2019-08,1502.3
2019-09,1507.8
2019-10,1494.7
2019-11,1470.2
2019-12,1482.0
2020-01,1561.4
2020-02,1595.5
2020-03,1592.7
2020-04,1685.9
2020-05,1718.4
2020-06,1736.0
2020-07,1846.2
2020-08,1969.3
2020-09,1922.5
2020-10,1899.9
2020-11,1865.6
2020-12,1859.9
2021-01,1865.1
2021-02,1808.5
2021-03,1720.6
2021-04,1759.2
2021-05,1852.6
2021-06,1831.9
2021-07,1805.7
2021-08,1786.3
2021-09,1777.5
2021-10,1776.5
2021-11,1818.1
2021-12,1792.8
2022-01,1816.5
2022-02,1859.5
2022-03,1951.6
2022-04,1936.9
2022-05,1848.1
2022-06,1837.1
2022-07,1736.4
2022-08,1763.2
2022-09,1681.2
2022-10,1666.1
2022-11,1729.1
2022-12,1797.4
2023-01,1902.2
2023-02,1853.4
2023-03,1914.5
2023-04,2001.1
2023-05,1991.1
2023-06,1940.8
2023-07,1949.1
2023-08,1918.0
2023-09,1913.3
2023-10,1915.9
2023-11,1985.3
2023-12,2034.5
2024-01,2031.8
2024-02,2025.6
2024-03,2163.6
2024-04,2333.7
2024-05,2350.2
2024-06,2327.5
2024-07,2394.6
2024-08,2471.5
2024-09,2571.4
2024-10,2691.4
2024-11,2649.5
2024-12,2638.7
2025-01,2711.3
2025-02,2896.2
2025-03,2987.2
2025-04,3222.6
2025-05,3289.5
2025-06,3352.6
2025-07,3340.1
2025-08,3367.8
2025-09,3667.6
2025-10,4057.9
2025-11,4086.1
2025-12,4308.9
2026-01,4750.9
2026-02,5018.2
2026-03,4855.7
2026-04,4721.3
2026-05,4587.1
2026-06,4226.8
2026-07,4077.9
