month,btc_usd
2014-12,367.4
2015-01,228.3
2015-02,235.0
2015-03,270.1
2015-04,236.2
2015-05,237.4
2015-06,238.4
2015-07,280.4
2015-08,251.8
2015-09,234.4
2015-10,266.2
2015-11,349.5
2015-12,424.6
2016-01,410.6
2016-02,403.4
2016-03,414.7
2016-04,436.1
2016-05,463.5
2016-06,644.6
2016-07,663.5
2016-08,580.1
2016-09,606.1
2016-10,642.5
2016-11,725.6
2016-12,825.5
2017-01,914.5
2017-02,1069.0
2017-03,1132.0
2017-04,1221.8
2017-05,1903.2
2017-06,2618.0
2017-07,2510.7
2017-08,3873.7
2017-09,4108.8
2017-10,5351.1
2017-11,7791.4
2017-12,15271.4
2018-01,12926.8
2018-02,9382.8
2018-03,8983.7
2018-04,8021.7
2018-05,8421.6
2018-06,6769.0
2018-07,7123.1
2018-08,6678.9
2018-09,6585.8
2018-10,6415.0
2018-11,5348.1
2018-12,3660.9
2019-01,3659.4
2019-02,3659.2
2019-03,3924.3
2019-04,5146.6
2019-05,7286.9
2019-06,9393.4
2019-07,10657.8
2019-08,10640.4
2019-09,9795.3
2019-10,8387.0
2019-11,8337.2
2019-12,7248.6
2020-01,8369.3
2020-02,9640.9
2020-03,6884.6
2020-04,7223.9
2020-05,9256.8
2020-06,9479.8
2020-07,9602.2
2020-08,11650.7
2020-09,10653.8
2020-10,11892.8
2020-11,16678.6
2020-12,21999.3
2021-01,34764.0
2021-02,46356.0
2021-03,54887.2
2021-04,57147.3
2021-05,46475.6
2021-06,35854.0
2021-07,34426.5
2021-08,45685.2
2021-09,45935.9
2021-10,57914.6
2021-11,60722.9
2021-12,49332.7
2022-01,41110.4
2022-02,40757.1
2022-03,41956.0
2022-04,41408.0
2022-05,31678.8
2022-06,24352.1
2022-07,21522.8
2022-08,22353.6
2022-09,19794.1
2022-10,19649.7
2022-11,17585.6
2022-12,16942.8
2023-01,20244.9
2023-02,23294.7
2023-03,25126.0
2023-04,28854.5
2023-05,27499.1
2023-06,27760.1
2023-07,30057.1
2023-08,27850.0
2023-09,26305.7
2023-10,29754.2
2023-11,36595.7
2023-12,42547.5
2024-01,42917.4
2024-02,49881.0
2024-03,67712.6
2024-04,65869.8
2024-05,65274.7
2024-06,65900.3
2024-07,62817.0
2024-08,59915.7
2024-09,60558.2
2024-10,65859.4
2024-11,87505.7
2024-12,98145.5
2025-01,100206.0
2025-02,94752.8
2025-03,85061.6
2025-04,86839.9
2025-05,103954.8
2025-06,105829.5
2025-07,115618.2
2025-08,114710.1
2025-09,113487.3
2025-10,113788.1
2025-11,95855.3
2025-12,88866.0
2026-01,90511.6
2026-02,68885.5
2026-03,69502.1
2026-04,73668.1
2026-05,77958.4
2026-06,63013.2
2026-07,63707.0
