month,cb_demand
2010-01,59.7
2010-02,59.7
2010-03,59.7
2010-04,14.2
2010-05,14.2
2010-06,14.2
2010-07,24.0
2010-08,24.0
2010-09,24.0
2010-10,-18.8
2010-11,-18.8
2010-12,-18.8
2011-01,142.5
2011-02,142.5
2011-03,142.5
2011-04,69.4
2011-05,69.4
2011-06,69.4
2011-07,148.8
2011-08,148.8
2011-09,148.8
2011-10,120.1
2011-11,120.1
2011-12,120.1
2012-01,122.5
2012-02,122.5
2012-03,122.5
2012-04,170.7
2012-05,170.7
2012-06,170.7
2012-07,117.8
2012-08,117.8
2012-09,117.8
2012-10,158.3
2012-11,158.3
2012-12,158.3
2013-01,170.5
2013-02,170.5
2013-03,170.5
2013-04,181.4
2013-05,181.4
2013-06,181.4
2013-07,126.9
2013-08,126.9
2013-09,126.9
2013-10,150.6
2013-11,150.6
2013-12,150.6
2014-01,118.8
2014-02,118.8
2014-03,118.8
2014-04,169.6
2014-05,169.6
2014-06,169.6
2014-07,177.0
2014-08,177.0
2014-09,177.0
2014-10,135.8
2014-11,135.8
2014-12,135.8
2015-01,103.1
2015-02,103.1
2015-03,103.1
2015-04,141.4
2015-05,141.4
2015-06,141.4
2015-07,172.4
2015-08,172.4
2015-09,172.4
2015-10,162.7
2015-11,162.7
2015-12,162.7
2016-01,110.6
2016-02,110.6
2016-03,110.6
2016-04,84.9
2016-05,84.9
2016-06,84.9
2016-07,89.0
2016-08,89.0
2016-09,89.0
2016-10,110.4
2016-11,110.4
2016-12,110.4
2017-01,92.0
2017-02,92.0
2017-03,92.0
2017-04,96.3
2017-05,96.3
2017-06,96.3
2017-07,96.6
2017-08,96.6
2017-09,96.6
2017-10,93.7
2017-11,93.7
2017-12,93.7
2018-01,84.8
2018-02,84.8
2018-03,84.8
2018-04,152.8
2018-05,152.8
2018-06,152.8
2018-07,240.5
2018-08,240.5
2018-09,240.5
2018-10,178.1
2018-11,178.1
2018-12,178.1
2019-01,146.2
2019-02,146.2
2019-03,146.2
2019-04,227.8
2019-05,227.8
2019-06,227.8
2019-07,113.5
2019-08,113.5
2019-09,113.5
2019-10,117.9
2019-11,117.9
2019-12,117.9
2020-01,140.8
2020-02,140.8
2020-03,140.8
2020-04,63.7
2020-05,63.7
2020-06,63.7
2020-07,-10.6
2020-08,-10.6
2020-09,-10.6
2020-10,61.0
2020-11,61.0
2020-12,61.0
2021-01,115.6
2021-02,115.6
2021-03,115.6
2021-04,209.6
2021-05,209.6
2021-06,209.6
2021-07,90.6
2021-08,90.6
2021-09,90.6
2021-10,34.3
2021-11,34.3
2021-12,34.3
2022-01,82.4
2022-02,82.4
2022-03,82.4
2022-04,158.6
2022-05,158.6
2022-06,158.6
2022-07,456.9
2022-08,456.9
2022-09,456.9
2022-10,382.1
2022-11,382.1
2022-12,382.1
2023-01,290.4
2023-02,290.4
2023-03,290.4
2023-04,176.3
2023-05,176.3
2023-06,176.3
2023-07,367.3
2023-08,367.3
2023-09,367.3
2023-10,216.8
2023-11,216.8
2023-12,216.8
2024-01,313.3
2024-02,313.3
2024-03,313.3
2024-04,211.5
2024-05,211.5
2024-06,211.5
2024-07,201.0
2024-08,201.0
2024-09,201.0
2024-10,366.6
2024-11,366.6
2024-12,366.6
2025-01,237.0
2025-02,237.0
2025-03,237.0
2025-04,179.3
2025-05,179.3
2025-06,179.3
2025-07,226.3
2025-08,226.3
2025-09,226.3
2025-10,207.6
2025-11,207.6
2025-12,207.6
2026-01,243.7
2026-02,243.7
2026-03,243.7
