month,gold_close,usd_close,cpi_yoy_pct,real_yield_pct,gpr,btc_usd,aux_usd,xag_usd,cb_demand,fed_rate_pct,nasdaq_close,au9999_close,usd_cny,tencent_close,sp500_close,nikkei_close,dax_close,cac40_close,kospi_close,shanghai_close
1954-07,,,,,,,,,,0.8,,,,,,,,,,
1954-08,,,,,,,,,,1.2,,,,,,,,,,
1954-09,,,,,,,,,,1.1,,,,,,,,,,
1954-10,,,,,,,,,,0.8,,,,,,,,,,
1954-11,,,,,,,,,,0.8,,,,,,,,,,
1954-12,,,,,,,,,,1.3,,,,,,,,,,
1955-01,,,,,,,,,,1.4,,,,,,,,,,
1955-02,,,,,,,,,,1.3,,,,,,,,,,
1955-03,,,,,,,,,,1.4,,,,,,,,,,
1955-04,,,,,,,,,,1.4,,,,,,,,,,
1955-05,,,,,,,,,,1.4,,,,,,,,,,
1955-06,,,,,,,,,,1.6,,,,,,,,,,
1955-07,,,,,,,,,,1.7,,,,,,,,,,
1955-08,,,,,,,,,,2.0,,,,,,,,,,
1955-09,,,,,,,,,,2.2,,,,,,,,,,
1955-10,,,,,,,,,,2.2,,,,,,,,,,
1955-11,,,,,,,,,,2.4,,,,,,,,,,
1955-12,,,,,,,,,,2.5,,,,,,,,,,
1956-01,,,,,,,,,,2.4,,,,,,,,,,
1956-02,,,,,,,,,,2.5,,,,,,,,,,
1956-03,,,,,,,,,,2.5,,,,,,,,,,
1956-04,,,,,,,,,,2.6,,,,,,,,,,
1956-05,,,,,,,,,,2.8,,,,,,,,,,
1956-06,,,,,,,,,,2.7,,,,,,,,,,
1956-07,,,,,,,,,,2.8,,,,,,,,,,
1956-08,,,,,,,,,,2.7,,,,,,,,,,
1956-09,,,,,,,,,,3.0,,,,,,,,,,
1956-10,,,,,,,,,,3.0,,,,,,,,,,
1956-11,,,,,,,,,,2.9,,,,,,,,,,
1956-12,,,,,,,,,,2.9,,,,,,,,,,
1957-01,,,,,,,,,,2.8,,,,,,,,,,
1957-02,,,,,,,,,,3.0,,,,,,,,,,
1957-03,,,,,,,,,,3.0,,,,,,,,,,
1957-04,,,,,,,,,,3.0,,,,,,,,,,
1957-05,,,,,,,,,,3.0,,,,,,,,,,
1957-06,,,,,,,,,,3.0,,,,,,,,,,
1957-07,,,,,,,,,,3.0,,,,,,,,,,
1957-08,,,,,,,,,,3.2,,,,,,,,,,
1957-09,,,,,,,,,,3.5,,,,,,,,,,
1957-10,,,,,,,,,,3.5,,,,,,,,,,
1957-11,,,,,,,,,,3.3,,,,,,,,,,
1957-12,,,,,,,,,,3.0,,,,,,,,,,
1958-01,,,,,,,,,,2.7,,,,,,,,,,
1958-02,,,,,,,,,,1.7,,,,,,,,,,
1958-03,,,,,,,,,,1.2,,,,,,,,,,
1958-04,,,,,,,,,,1.3,,,,,,,,,,
1958-05,,,,,,,,,,0.6,,,,,,,,,,
1958-06,,,,,,,,,,0.9,,,,,,,,,,
1958-07,,,,,,,,,,0.7,,,,,,,,,,
1958-08,,,,,,,,,,1.5,,,,,,,,,,
1958-09,,,,,,,,,,1.8,,,,,,,,,,
1958-10,,,,,,,,,,1.8,,,,,,,,,,
1958-11,,,,,,,,,,2.3,,,,,,,,,,
1958-12,,,,,,,,,,2.4,,,,,,,,,,
1959-01,,,,,,,,,,2.5,,,,,,,,,,
1959-02,,,,,,,,,,2.4,,,,,,,,,,
1959-03,,,,,,,,,,2.8,,,,,,,,,,
1959-04,,,,,,,,,,3.0,,,,,,,,,,
1959-05,,,,,,,,,,2.9,,,,,,,,,,
1959-06,,,,,,,,,,3.4,,,,,,,,,,
1959-07,,,,,,,,,,3.5,,,,,,,,,,
1959-08,,,,,,,,,,3.5,,,,,,,,,,
1959-09,,,,,,,,,,3.8,,,,,,,,,,
1959-10,,,,,,,,,,4.0,,,,,,,,,,
1959-11,,,,,,,,,,4.0,,,,,,,,,,
1959-12,,,,,,,,,,4.0,,,,,,,,,,
1960-01,,,,,,,,,,4.0,,,,,,,9.3,,,
1960-02,,,,,,,,,,4.0,,,,,,,9.4,,,
1960-03,,,,,,,,,,3.8,,,,,,,9.2,,,
1960-04,,,,,,,,,,3.9,,,,,,,9.5,,,
1960-05,,,,,,,,,,3.8,,,,,,,10.1,,,
1960-06,,,,,,,,,,3.3,,,,,,,11.5,,,
1960-07,,,,,,,,,,3.2,,,,,,,12.4,,,
1960-08,,,,,,,,,,3.0,,,,,,,13.4,,,
1960-09,,,,,,,,,,2.6,,,,,,,13.4,,,
1960-10,,,,,,,,,,2.5,,,,,,,12.6,,,
1960-11,,,,,,,,,,2.4,,,,,,,12.4,,,
1960-12,,,,,,,,,,2.0,,,,,,,12.1,,,
1961-01,,,,,,,,,,1.4,,,,,,,12.0,,,
1961-02,,,,,,,,,,2.5,,,,,,,11.9,,,
1961-03,,,,,,,,,,2.0,,,,,,,11.7,,,
1961-04,,,,,,,,,,1.5,,,,,,,12.0,,,
1961-05,,,,,,,,,,2.0,,,,,,,12.5,,,
1961-06,,,,,,,,,,1.7,,,,,,,12.6,,,
1961-07,,,,,,,,,,1.2,,,,,,,11.5,,,
1961-08,,,,,,,,,,2.0,,,,,,,11.0,,,
1961-09,,,,,,,,,,1.9,,,,,,,10.5,,,
1961-10,,,,,,,,,,2.3,,,,,,,10.7,,,
1961-11,,,,,,,,,,2.6,,,,,,,11.4,,,
1961-12,,,,,,,,,,2.3,,,,,,,11.0,,,
1962-01,,,,,,,,,,2.2,,,,,,,10.8,,,
1962-02,,,,,,,,,,2.4,,,,,,,10.6,,,
1962-03,,,,,,,,,,2.8,,,,,,,10.5,,,
1962-04,,,,,,,,,,2.8,,,,,,,10.2,,,
1962-05,,,,,,,,,,2.4,,,,,,,9.4,,,
1962-06,,,,,,,,,,2.7,,,,,,,8.5,,,
1962-07,,,,,,,,,,2.7,,,,,,,8.3,,,
1962-08,,,,,,,,,,2.9,,,,,,,8.0,,,
1962-09,,,,,,,,,,2.9,,,,,,,7.8,,,
1962-10,,,,,,,,,,2.9,,,,,,,7.2,,,
1962-11,,,,,,,,,,2.9,,,,,,,8.0,,,
1962-12,,,,,,,,,,2.9,,,,,,,8.3,,,
1963-01,,,,,,,,,,2.9,,,,,,,8.0,,,
1963-02,,,,,,,,,,3.0,,,,,,,7.8,,,
1963-03,,,,,,,,,,3.0,,,,,,,7.8,,,
1963-04,,,,,,,,,,2.9,,,,,,,8.0,,,
1963-05,,,,,,,,,,3.0,,,,,,,8.7,,,
