month,fed_rate_pct
1954-07,0.8
1954-08,1.2
1954-09,1.1
1954-10,0.8
1954-11,0.8
1954-12,1.3
1955-01,1.4
1955-02,1.3
1955-03,1.4
1955-04,1.4
1955-05,1.4
1955-06,1.6
1955-07,1.7
1955-08,2.0
1955-09,2.2
1955-10,2.2
1955-11,2.4
1955-12,2.5
1956-01,2.4
1956-02,2.5
1956-03,2.5
1956-04,2.6
1956-05,2.8
1956-06,2.7
1956-07,2.8
1956-08,2.7
1956-09,3.0
1956-10,3.0
1956-11,2.9
1956-12,2.9
1957-01,2.8
1957-02,3.0
1957-03,3.0
1957-04,3.0
1957-05,3.0
1957-06,3.0
1957-07,3.0
1957-08,3.2
1957-09,3.5
1957-10,3.5
1957-11,3.3
1957-12,3.0
1958-01,2.7
1958-02,1.7
1958-03,1.2
1958-04,1.3
1958-05,0.6
1958-06,0.9
1958-07,0.7
1958-08,1.5
1958-09,1.8
1958-10,1.8
1958-11,2.3
1958-12,2.4
1959-01,2.5
1959-02,2.4
1959-03,2.8
1959-04,3.0
1959-05,2.9
1959-06,3.4
1959-07,3.5
1959-08,3.5
1959-09,3.8
1959-10,4.0
1959-11,4.0
1959-12,4.0
1960-01,4.0
1960-02,4.0
1960-03,3.8
1960-04,3.9
1960-05,3.8
1960-06,3.3
1960-07,3.2
1960-08,3.0
1960-09,2.6
1960-10,2.5
1960-11,2.4
1960-12,2.0
1961-01,1.4
1961-02,2.5
1961-03,2.0
1961-04,1.5
1961-05,2.0
1961-06,1.7
1961-07,1.2
1961-08,2.0
1961-09,1.9
1961-10,2.3
1961-11,2.6
1961-12,2.3
1962-01,2.2
1962-02,2.4
1962-03,2.8
1962-04,2.8
1962-05,2.4
1962-06,2.7
1962-07,2.7
1962-08,2.9
1962-09,2.9
1962-10,2.9
1962-11,2.9
1962-12,2.9
1963-01,2.9
1963-02,3.0
1963-03,3.0
1963-04,2.9
1963-05,3.0
1963-06,3.0
1963-07,3.0
1963-08,3.5
1963-09,3.5
1963-10,3.5
1963-11,3.5
1963-12,3.4
1964-01,3.5
1964-02,3.5
1964-03,3.4
1964-04,3.5
1964-05,3.5
1964-06,3.5
1964-07,3.4
1964-08,3.5
1964-09,3.4
1964-10,3.4
1964-11,3.5
1964-12,3.8
1965-01,3.9
1965-02,4.0
1965-03,4.0
1965-04,4.1
1965-05,4.1
1965-06,4.0
1965-07,4.1
1965-08,4.1
1965-09,4.0
1965-10,4.1
1965-11,4.1
1965-12,4.3
1966-01,4.4
1966-02,4.6
1966-03,4.7
1966-04,4.7
1966-05,4.9
1966-06,5.2
1966-07,5.3
1966-08,5.5
1966-09,5.4
1966-10,5.5
1966-11,5.8
1966-12,5.4
1967-01,4.9
1967-02,5.0
1967-03,4.5
1967-04,4.0
1967-05,3.9
1967-06,4.0
1967-07,3.8
1967-08,3.9
1967-09,4.0
1967-10,3.9
1967-11,4.1
1967-12,4.5
1968-01,4.6
1968-02,4.7
1968-03,5.0
1968-04,5.8
1968-05,6.1
1968-06,6.1
1968-07,6.0
1968-08,6.0
1968-09,5.8
1968-10,5.9
1968-11,5.8
1968-12,6.0
1969-01,6.3
1969-02,6.6
1969-03,6.8
1969-04,7.4
1969-05,8.7
1969-06,8.9
1969-07,8.6
1969-08,9.2
1969-09,9.2
1969-10,9.0
1969-11,8.8
1969-12,9.0
1970-01,9.0
1970-02,9.0
1970-03,7.8
1970-04,8.1
1970-05,8.0
1970-06,7.6
1970-07,7.2
1970-08,6.6
1970-09,6.3
1970-10,6.2
1970-11,5.6
1970-12,4.9
1971-01,4.1
1971-02,3.7
1971-03,3.7
1971-04,4.2
1971-05,4.6
1971-06,4.9
1971-07,5.3
1971-08,5.6
1971-09,5.6
1971-10,5.2
1971-11,4.9
1971-12,4.1
1972-01,3.5
1972-02,3.3
1972-03,3.8
1972-04,4.2
1972-05,4.3
1972-06,4.5
1972-07,4.6
1972-08,4.8
1972-09,4.9
1972-10,5.0
1972-11,5.1
1972-12,5.3
1973-01,5.9
1973-02,6.6
1973-03,7.1
1973-04,7.1
1973-05,7.8
1973-06,8.5
1973-07,10.4
1973-08,10.5
1973-09,10.8
1973-10,10.0
1973-11,10.0
1973-12,10.0
1974-01,9.6
1974-02,9.0
1974-03,9.4
1974-04,10.5
1974-05,11.3
1974-06,11.9
1974-07,12.9
1974-08,12.0
1974-09,11.3
1974-10,10.1
1974-11,9.4
1974-12,8.5
1975-01,7.1
1975-02,6.2
1975-03,5.5
1975-04,5.5
1975-05,5.2
1975-06,5.6
1975-07,6.1
1975-08,6.1
1975-09,6.2
1975-10,5.8
1975-11,5.2
1975-12,5.2
1976-01,4.9
1976-02,4.8
1976-03,4.8
1976-04,4.8
1976-05,5.3
1976-06,5.5
1976-07,5.3
1976-08,5.3
1976-09,5.2
1976-10,5.0
1976-11,5.0
1976-12,4.6
1977-01,4.6
1977-02,4.7
1977-03,4.7
1977-04,4.7
1977-05,5.4
1977-06,5.4
1977-07,5.4
1977-08,5.9
1977-09,6.1
1977-10,6.5
1977-11,6.5
1977-12,6.6
1978-01,6.7
1978-02,6.8
1978-03,6.8
1978-04,6.9
1978-05,7.4
1978-06,7.6
1978-07,7.8
1978-08,8.0
1978-09,8.4
1978-10,9.0
1978-11,9.8
1978-12,10.0
1979-01,10.1
1979-02,10.1
1979-03,10.1
1979-04,10.0
1979-05,10.2
1979-06,10.3
1979-07,10.5
1979-08,10.9
1979-09,11.4
1979-10,13.8
1979-11,13.2
1979-12,13.8
1980-01,13.8
1980-02,14.1
1980-03,17.2
1980-04,17.6
1980-05,11.0
1980-06,9.5
1980-07,9.0
1980-08,9.6
1980-09,10.9
1980-10,12.8
1980-11,15.8
1980-12,18.9
1981-01,19.1
1981-02,15.9
1981-03,14.7
1981-04,15.7
1981-05,18.5
1981-06,19.1
1981-07,19.0
1981-08,17.8
1981-09,15.9
1981-10,15.1
1981-11,13.3
1981-12,12.4
1982-01,13.2
1982-02,14.8
1982-03,14.7
1982-04,14.9
1982-05,14.4
1982-06,14.2
1982-07,12.6
1982-08,10.1
1982-09,10.3
1982-10,9.7
1982-11,9.2
1982-12,9.0
1983-01,8.7
1983-02,8.5
1983-03,8.8
1983-04,8.8
1983-05,8.6
1983-06,9.0
1983-07,9.4
1983-08,9.6
1983-09,9.4
1983-10,9.5
1983-11,9.3
1983-12,9.5
1984-01,9.6
1984-02,9.6
1984-03,9.9
1984-04,10.3
1984-05,10.3
1984-06,11.1
