month,nasdaq_close
1971-02,101.0
1971-03,104.5
1971-04,109.6
1971-05,109.6
1971-06,108.6
1971-07,109.3
1971-08,106.5
1971-09,109.5
1971-10,108.4
1971-11,103.6
1971-12,109.8
1972-01,116.5
1972-02,122.7
1972-03,127.5
1972-04,131.8
1972-05,130.5
1972-06,131.0
1972-07,129.2
1972-08,130.6
1972-09,128.3
1972-10,128.4
1972-11,132.7
1972-12,133.3
1973-01,133.5
1973-02,124.5
1973-03,119.6
1973-04,113.0
1973-05,106.4
1973-06,101.8
1973-07,104.7
1973-08,104.4
1973-09,107.6
1973-10,112.4
1973-11,101.3
1973-12,90.8
1974-01,94.2
1974-02,92.2
1974-03,95.0
1974-04,89.6
1974-05,83.4
1974-06,81.0
1974-07,72.4
1974-08,66.6
1974-09,58.6
1974-10,60.6
1974-11,63.9
1974-12,59.2
1975-01,64.5
1975-02,72.1
1975-03,75.1
1975-04,77.0
1975-05,81.8
1975-06,84.6
1975-07,85.6
1975-08,78.4
1975-09,75.9
1975-10,77.3
1975-11,78.0
1975-12,75.9
1976-01,83.4
1976-02,89.3
1976-03,90.2
1976-04,90.1
1976-05,89.3
1976-06,88.8
1976-07,91.4
1976-08,90.9
1976-09,91.4
1976-10,89.5
1976-11,89.5
1976-12,94.6
1977-01,96.9
1977-02,96.1
1977-03,95.7
1977-04,95.0
1977-05,96.9
1977-06,97.9
1977-07,101.3
1977-08,100.6
1977-09,100.4
1977-10,99.2
1977-11,100.7
1977-12,103.7
1978-01,100.8
1978-02,102.4
1978-03,104.0
1978-04,110.8
1978-05,119.1
1978-06,122.0
1978-07,122.1
1978-08,132.5
1978-09,135.2
1978-10,127.7
1978-11,114.1
1978-12,117.2
1979-01,123.7
1979-02,124.5
1979-03,128.1
1979-04,133.4
1979-05,131.3
1979-06,135.6
1979-07,138.6
1979-08,146.7
1979-09,149.2
1979-10,140.5
1979-11,138.8
1979-12,148.7
1980-01,155.1
1980-02,161.6
1980-03,141.1
1980-04,136.3
1980-05,145.7
1980-06,155.4
1980-07,166.9
1980-08,177.7
1980-09,189.5
1980-10,195.8
1980-11,200.7
1980-12,198.4
1981-01,198.8
1981-02,194.9
1981-03,203.6
1981-04,215.1
1981-05,216.5
1981-06,220.0
1981-07,209.7
1981-08,206.6
1981-09,185.4
1981-10,190.2
1981-11,199.2
1981-12,197.1
1982-01,187.7
1982-02,182.6
1982-03,173.3
1982-04,181.8
1982-05,184.6
1982-06,172.1
1982-07,169.6
1982-08,167.4
1982-09,185.1
1982-10,203.9
1982-11,227.0
1982-12,233.0
1983-01,241.5
1983-02,256.1
1983-03,266.5
1983-04,279.5
1983-05,302.4
1983-06,319.3
1983-07,316.1
1983-08,296.9
1983-09,300.4
1983-10,286.7
1983-11,278.7
1983-12,278.7
1984-01,282.0
1984-02,254.4
1984-03,251.2
1984-04,245.2
1984-05,245.2
1984-06,238.5
1984-07,232.4
1984-08,250.3
1984-09,252.0
1984-10,247.2
1984-11,246.4
1984-12,241.9
1985-01,260.8
1985-02,285.5
1985-03,280.8
1985-04,280.9
1985-05,287.5
1985-06,290.4
1985-07,302.0
1985-08,298.2
1985-09,287.9
1985-10,285.4
1985-11,304.4
1985-12,320.2
1986-01,328.5
1986-02,348.8
1986-03,368.2
1986-04,382.5
1986-05,388.5
1986-06,398.6
1986-07,385.9
1986-08,375.6
1986-09,358.3
1986-10,355.0
1986-11,358.1
1986-12,354.9
1987-01,384.2
1987-02,411.7
1987-03,432.2
1987-04,422.8
1987-05,416.6
1987-06,423.7
1987-07,429.0
1987-08,448.4
1987-09,442.8
1987-10,385.1
1987-11,318.8
1987-12,314.5
1988-01,339.3
1988-02,353.6
1988-03,375.5
1988-04,377.2
1988-05,371.9
1988-06,386.0
1988-07,391.4
1988-08,379.6
1988-09,382.2
1988-10,385.0
1988-11,372.9
1988-12,375.8
1989-01,389.3
1989-02,404.1
1989-03,404.0
1989-04,417.1
1989-05,436.0
1989-06,447.6
1989-07,446.7
1989-08,461.8
1989-09,469.3
1989-10,469.7
1989-11,454.7
1989-12,449.0
1990-01,439.4
1990-02,424.5
1990-03,436.1
1990-04,429.0
1990-05,442.6
1990-06,462.3
1990-07,455.8
1990-08,396.3
1990-09,368.6
1990-10,338.0
1990-11,347.7
1990-12,370.2
1991-01,376.7
1991-02,442.6
1991-03,469.1
1991-04,496.3
1991-05,490.9
1991-06,490.4
1991-07,489.4
1991-08,513.3
1991-09,520.6
1991-10,528.9
1991-11,536.6
1991-12,544.1
1992-01,615.7
1992-02,632.0
1992-03,619.6
1992-04,582.8
1992-05,581.5
1992-06,566.7
1992-07,568.7
1992-08,569.0
1992-09,580.7
