open,close,low,high,month
261.6,261.8,260.2,262.7,2016-12
268.5,268.1,266.6,269.3,2017-01
274.9,275.4,273.8,276.2,2017-02
276.3,276.2,275.3,277.5,2017-03
284.3,283.8,282.5,286.0,2017-04
280.2,277.8,276.9,280.6,2017-05
278.7,278.2,277.1,279.5,2017-06
271.4,271.1,270.1,272.2,2017-07
276.9,276.2,275.2,277.5,2017-08
279.9,279.5,278.4,280.7,2017-09
275.9,275.2,274.5,276.3,2017-10
275.3,274.8,274.0,275.6,2017-11
271.4,270.7,269.8,271.7,2017-12
277.2,276.7,276.1,277.7,2018-01
272.2,271.6,270.5,272.8,2018-02
271.9,271.4,270.5,272.3,2018-03
272.7,272.2,271.6,273.0,2018-04
269.3,268.5,267.9,269.5,2018-05
268.4,267.7,267.1,268.6,2018-06
268.7,268.1,267.5,269.0,2018-07
266.4,265.8,265.1,266.9,2018-08
266.4,265.7,265.1,266.6,2018-09
273.5,273.2,271.8,274.3,2018-10
274.2,273.7,272.9,274.7,2018-11
278.7,278.7,277.7,279.3,2018-12
284.7,284.3,283.1,285.6,2019-01
289.0,288.5,286.8,289.9,2019-02
285.0,284.0,282.9,285.5,2019-03
282.2,281.4,280.5,282.6,2019-04
286.4,286.5,285.2,287.3,2019-05
304.5,304.9,302.0,306.8,2019-06
316.5,315.5,313.3,318.2,2019-07
343.3,343.2,339.4,346.7,2019-08
349.9,348.1,345.9,351.1,2019-09
340.0,342.0,336.8,344.0,2019-10
334.8,333.5,331.4,335.5,2019-11
336.1,335.6,334.0,337.0,2019-12
347.8,347.2,344.5,350.1,2020-01
360.2,359.4,356.8,361.8,2020-02
359.7,357.3,352.7,362.6,2020-03
374.1,373.0,369.2,376.2,2020-04
389.4,388.3,385.3,390.6,2020-05
392.7,391.4,389.6,393.6,2020-06
406.8,407.0,404.0,409.7,2020-07
424.0,423.6,419.1,428.6,2020-08
411.8,411.3,408.6,414.3,2020-09
403.8,403.1,401.2,405.2,2020-10
394.0,393.0,386.3,395.7,2020-11
385.0,386.3,383.3,388.2,2020-12
389.3,389.1,386.5,391.4,2021-01
378.5,378.0,375.1,380.8,2021-02
362.8,362.5,359.9,364.8,2021-03
370.0,370.4,368.1,372.0,2021-04
384.4,385.8,383.1,387.4,2021-05
379.1,378.4,374.4,380.7,2021-06
375.8,376.5,374.3,377.7,2021-07
373.2,372.9,370.5,375.2,2021-08
373.3,371.8,370.2,373.8,2021-09
368.7,368.6,361.4,370.3,2021-10
374.8,374.8,372.7,376.6,2021-11
368.7,368.9,358.4,370.8,2021-12
373.1,372.8,367.5,374.6,2022-01
380.6,382.1,372.3,383.9,2022-02
396.7,397.2,394.0,400.0,2022-03
400.6,400.9,398.8,402.5,2022-04
399.8,399.5,397.7,401.4,2022-05
397.3,396.1,394.3,398.4,2022-06
378.9,378.0,375.5,380.6,2022-07
388.1,388.2,384.2,389.8,2022-08
386.7,386.9,384.9,388.0,2022-09
391.6,391.9,390.8,393.0,2022-10
402.1,402.1,399.4,403.7,2022-11
405.8,406.6,404.5,407.6,2022-12
415.4,416.0,413.6,417.1,2023-01
414.9,414.4,412.9,416.2,2023-02
427.8,428.8,425.5,431.5,2023-03
444.8,444.3,442.0,446.1,2023-04
451.8,449.3,447.5,453.0,2023-05
453.8,449.4,447.7,454.0,2023-06
456.7,454.5,452.9,457.4,2023-07
463.3,457.2,456.1,464.0,2023-08
470.4,468.0,466.0,471.9,2023-09
461.5,464.5,460.2,468.0,2023-10
469.5,470.7,468.3,472.2,2023-11
475.4,475.5,472.7,479.1,2023-12
479.5,479.4,477.9,482.0,2024-01
480.0,480.1,478.9,481.6,2024-02
504.4,506.4,503.2,508.4,2024-03
551.2,552.7,547.6,557.4,2024-04
554.8,555.0,551.8,558.8,2024-05
549.4,550.0,547.0,552.9,2024-06
559.9,560.8,557.2,563.8,2024-07
566.8,567.8,563.5,570.0,2024-08
581.3,581.8,578.7,583.6,2024-09
612.1,614.5,609.5,618.0,2024-10
613.1,611.6,607.8,616.7,2024-11
616.7,617.6,614.1,620.0,2024-12
633.2,634.5,630.9,636.7,2025-01
679.9,679.7,675.3,683.4,2025-02
693.0,695.5,690.9,697.3,2025-03
763.6,765.8,756.1,773.6,2025-04
767.5,768.8,761.0,776.5,2025-05
781.1,777.0,772.1,783.6,2025-06
772.2,772.9,768.8,775.9,2025-07
775.2,775.9,773.4,778.5,2025-08
828.8,831.8,825.2,836.1,2025-09
936.9,938.6,924.8,951.5,2025-10
932.6,932.8,924.7,939.8,2025-11
972.9,973.1,956.9,980.5,2025-12
1062.5,1070.7,1045.7,1080.0,2026-01
1124.2,1116.8,1092.7,1140.3,2026-02
1096.0,1087.0,1070.7,1114.2,2026-03
1041.0,1040.2,1030.0,1052.3,2026-04
1008.2,1005.6,997.1,1014.9,2026-05
932.6,927.6,918.9,939.8,2026-06
888.8,889.6,882.1,898.5,2026-07
