month,close
2004-06,4.26
2004-07,3.88
2004-08,3.74
2004-09,3.74
2004-10,4.38
2004-11,4.9
2004-12,5.39
2005-01,4.63
2005-02,5.0
2005-03,5.35
2005-04,5.38
2005-05,5.5
2005-06,6.04
2005-07,6.1
2005-08,6.85
2005-09,8.44
2005-10,8.5
2005-11,8.37
2005-12,8.33
2006-01,9.67
2006-02,10.36
2006-03,11.09
2006-04,14.48
2006-05,15.64
2006-06,16.09
2006-07,15.1
2006-08,16.69
2006-09,18.2
2006-10,18.12
2006-11,21.36
2006-12,23.44
2007-01,29.22
2007-02,28.97
2007-03,27.19
2007-04,25.52
2007-05,31.0
2007-06,32.16
2007-07,35.15
2007-08,35.12
2007-09,42.89
2007-10,55.8
2007-11,54.9
2007-12,55.74
2008-01,52.0
2008-02,48.41
2008-03,45.46
2008-04,49.03
2008-05,62.91
2008-06,64.54
2008-07,63.49
2008-08,65.99
2008-09,60.02
2008-10,49.37
2008-11,47.1
2008-12,47.97
2009-01,46.46
2009-02,46.32
2009-03,51.51
2009-04,63.4
2009-05,76.99
2009-06,89.15
2009-07,96.3
2009-08,114.04
2009-09,125.2
2009-10,135.17
2009-11,144.07
2009-12,154.95
2010-01,160.94
2010-02,145.47
2010-03,159.33
2010-04,159.33
2010-05,153.86
2010-06,134.94
2010-07,138.81
2010-08,147.25
2010-09,155.5
2010-10,179.36
2010-11,176.02
2010-12,174.99
2011-01,191.21
2011-02,199.74
2011-03,205.29
2011-04,206.74
2011-05,215.99
2011-06,207.96
2011-07,208.52
2011-08,185.71
2011-09,173.64
2011-10,170.36
2011-11,160.74
2011-12,153.43
2012-01,171.06
2012-02,192.29
2012-03,209.32
2012-04,229.56
2012-05,223.5
2012-06,223.9
2012-07,228.41
2012-08,238.72
2012-09,250.4
2012-10,264.09
2012-11,261.96
2012-12,249.81
2013-01,263.13
2013-02,269.74
2013-03,265.94
2013-04,249.94
2013-05,288.44
2013-06,297.22
2013-07,323.85
2013-08,363.35
2013-09,401.63
2013-10,424.19
2013-11,420.59
2013-12,466.78
2014-01,508.48
2014-02,558.68
2014-03,581.36
2014-04,525.94
2014-05,415.88
2014-06,114.46
2014-07,124.6
2014-08,130.23
2014-09,122.53
2014-10,117.56
2014-11,125.75
2014-12,114.39
2015-01,127.21
2015-02,133.31
2015-03,137.63
2015-04,159.52
2015-05,157.84
2015-06,156.33
2015-07,149.31
2015-08,137.45
2015-09,130.35
2015-10,144.7
2015-11,152.86
2015-12,150.97
2016-01,140.36
2016-02,140.89
2016-03,152.14
2016-04,161.55
2016-05,159.81
2016-06,172.47
2016-07,182.79
2016-08,194.38
2016-09,211.59
2016-10,213.07
2016-11,198.08
2016-12,186.45
2017-01,197.73
2017-02,208.04
2017-03,218.28
2017-04,233.16
2017-05,261.33
2017-06,276.99
2017-07,288.45
2017-08,322.23
2017-09,334.62
2017-10,350.12
2017-11,396.49
2017-12,393.77
2018-01,447.99
2018-02,436.29
2018-03,443.9
2018-04,401.37
2018-05,399.85
2018-06,404.9
2018-07,378.7
2018-08,353.62
2018-09,322.91
2018-10,283.87
2018-11,291.67
2018-12,312.0
2019-01,329.61
2019-02,343.27
2019-03,357.67
2019-04,385.43
2019-05,354.23
2019-06,341.56
2019-07,361.65
2019-08,335.36
2019-09,338.81
2019-10,323.46
2019-11,330.56
2019-12,356.9
2020-01,388.93
2020-02,402.18
2020-03,372.25
2020-04,398.22
2020-05,420.41
2020-06,454.19
2020-07,534.5
2020-08,528.9
2020-09,518.2
2020-10,561.17
2020-11,589.45
2020-12,570.77
2021-01,642.98
2021-02,727.14
2021-03,646.07
2021-04,624.58
2021-05,602.67
2021-06,599.1
2021-07,530.34
2021-08,458.71
2021-09,475.85
2021-10,486.95
2021-11,478.72
2021-12,455.62
2022-01,461.08
2022-02,461.56
2022-03,379.27
2022-04,360.64
2022-05,351.97
2022-06,373.88
2022-07,334.86
2022-08,309.05
2022-09,295.51
2022-10,240.66
2022-11,263.53
2022-12,316.75
2023-01,373.71
2023-02,373.14
2023-03,357.46
2023-04,361.28
2023-05,332.92
2023-06,339.64
2023-07,338.29
2023-08,331.73
2023-09,314.48
2023-10,298.61
2023-11,314.1
2023-12,305.88
2024-01,283.05
2024-02,285.33
2024-03,285.39
2024-04,318.58
2024-05,375.87
2024-06,379.01
2024-07,372.05
2024-08,371.38
2024-09,389.6
2024-10,432.43
2024-11,408.54
2024-12,411.99
2025-01,386.52
2025-02,463.65
2025-03,514.56
2025-04,465.22
2025-05,508.04
2025-06,509.73
2025-07,521.96
2025-08,581.21
2025-09,633.16
2025-10,643.88
2025-11,631.15
2025-12,606.48
2026-01,615.05
2026-02,543.26
2026-03,519.07
2026-04,497.37
2026-05,454.12
2026-06,444.5
2026-07,457.96
