month,real_yield_pct
2003-01,2.3
2003-02,2.0
2003-03,1.9
2003-04,2.2
2003-05,1.9
2003-06,1.7
2003-07,2.1
2003-08,2.3
2003-09,2.2
2003-10,2.1
2003-11,2.0
2003-12,2.0
2004-01,1.9
2004-02,1.8
2004-03,1.5
2004-04,1.9
2004-05,2.1
2004-06,2.1
2004-07,2.0
2004-08,1.9
2004-09,1.8
2004-10,1.7
2004-11,1.7
2004-12,1.7
2005-01,1.7
2005-02,1.6
2005-03,1.8
2005-04,1.7
2005-05,1.7
2005-06,1.7
2005-07,1.9
2005-08,1.9
2005-09,1.7
2005-10,1.9
2005-11,2.1
2005-12,2.1
2006-01,2.0
2006-02,2.0
2006-03,2.2
2006-04,2.4
2006-05,2.4
2006-06,2.5
2006-07,2.5
2006-08,2.3
2006-09,2.3
2006-10,2.4
2006-11,2.3
2006-12,2.3
2007-01,2.4
2007-02,2.4
2007-03,2.2
2007-04,2.3
2007-05,2.4
2007-06,2.7
2007-07,2.6
2007-08,2.4
2007-09,2.3
2007-10,2.2
2007-11,1.8
2007-12,1.8
2008-01,1.5
2008-02,1.4
2008-03,1.1
2008-04,1.4
2008-05,1.5
2008-06,1.6
2008-07,1.6
2008-08,1.7
2008-09,1.8
2008-10,2.8
2008-11,2.9
2008-12,2.2
2009-01,1.9
2009-02,1.8
2009-03,1.7
2009-04,1.6
2009-05,1.7
2009-06,1.9
2009-07,1.8
2009-08,1.8
2009-09,1.6
2009-10,1.5
2009-11,1.3
2009-12,1.4
2010-01,1.4
2010-02,1.4
2010-03,1.5
2010-04,1.5
2010-05,1.3
2010-06,1.3
2010-07,1.2
2010-08,1.0
2010-09,0.9
2010-10,0.5
2010-11,0.7
2010-12,1.0
2011-01,1.1
2011-02,1.2
2011-03,1.0
2011-04,0.9
2011-05,0.8
2011-06,0.8
2011-07,0.6
2011-08,0.1
2011-09,0.1
2011-10,0.2
2011-11,0.0
2011-12,-0.0
2012-01,-0.1
2012-02,-0.3
2012-03,-0.1
2012-04,-0.2
2012-05,-0.3
2012-06,-0.5
2012-07,-0.6
2012-08,-0.6
2012-09,-0.7
2012-10,-0.7
2012-11,-0.8
2012-12,-0.8
2013-01,-0.6
2013-02,-0.6
2013-03,-0.6
2013-04,-0.7
2013-05,-0.4
2013-06,0.3
2013-07,0.5
2013-08,0.6
2013-09,0.7
2013-10,0.4
2013-11,0.5
2013-12,0.7
2014-01,0.6
2014-02,0.6
2014-03,0.6
2014-04,0.5
2014-05,0.4
2014-06,0.4
2014-07,0.3
2014-08,0.2
2014-09,0.5
2014-10,0.4
2014-11,0.4
2014-12,0.5
2015-01,0.3
2015-02,0.3
2015-03,0.3
2015-04,0.1
2015-05,0.3
2015-06,0.5
2015-07,0.5
2015-08,0.6
2015-09,0.6
2015-10,0.6
2015-11,0.7
2015-12,0.7
2016-01,0.7
2016-02,0.5
2016-03,0.3
2016-04,0.2
2016-05,0.2
2016-06,0.2
2016-07,0.0
2016-08,0.1
2016-09,0.1
2016-10,0.1
2016-11,0.3
2016-12,0.6
2017-01,0.4
2017-02,0.4
2017-03,0.5
2017-04,0.4
2017-05,0.5
2017-06,0.5
2017-07,0.5
2017-08,0.4
2017-09,0.4
2017-10,0.5
2017-11,0.5
2017-12,0.5
2018-01,0.5
2018-02,0.8
2018-03,0.8
2018-04,0.7
2018-05,0.8
2018-06,0.8
2018-07,0.8
2018-08,0.8
2018-09,0.9
2018-10,1.0
2018-11,1.1
2018-12,1.0
2019-01,0.9
2019-02,0.8
2019-03,0.7
2019-04,0.6
2019-05,0.6
2019-06,0.4
2019-07,0.3
2019-08,0.0
2019-09,0.1
2019-10,0.1
2019-11,0.2
2019-12,0.1
2020-01,0.0
2020-02,-0.1
2020-03,-0.1
2020-04,-0.4
2020-05,-0.4
2020-06,-0.5
2020-07,-0.8
2020-08,-1.0
2020-09,-1.0
2020-10,-0.9
2020-11,-0.8
2020-12,-1.0
2021-01,-1.0
2021-02,-0.9
2021-03,-0.7
2021-04,-0.7
2021-05,-0.8
2021-06,-0.8
2021-07,-1.0
2021-08,-1.1
2021-09,-1.0
2021-10,-1.0
2021-11,-1.1
2021-12,-1.0
2022-01,-0.7
2022-02,-0.5
2022-03,-0.7
2022-04,-0.1
2022-05,0.2
2022-06,0.5
2022-07,0.5
2022-08,0.4
2022-09,1.1
2022-10,1.6
2022-11,1.5
2022-12,1.4
2023-01,1.3
2023-02,1.4
2023-03,1.4
2023-04,1.2
2023-05,1.4
2023-06,1.5
2023-07,1.6
2023-08,1.8
2023-09,2.0
2023-10,2.4
2023-11,2.2
2023-12,1.8
2024-01,1.8
2024-02,1.9
2024-03,1.9
2024-04,2.1
2024-05,2.1
2024-06,2.0
2024-07,2.0
2024-08,1.8
2024-09,1.6
2024-10,1.8
2024-11,2.0
2024-12,2.1
2025-01,2.2
2025-02,2.0
2025-03,1.9
2025-04,2.0
2025-05,2.1
2025-06,2.1
2025-07,2.0
2025-08,1.9
2025-09,1.7
2025-10,1.8
2025-11,1.8
2025-12,1.9
2026-01,1.9
2026-02,1.8
2026-03,1.9
2026-04,1.9
2026-05,2.0
2026-06,2.2
2026-07,2.3
