month,usd_cny
1981-01,1.55
1981-02,1.61
1981-03,1.63
1981-04,1.67
1981-05,1.73
1981-06,1.76
1981-07,1.76
1981-08,1.8
1981-09,1.75
1981-10,1.76
1981-11,1.74
1981-12,1.74
1982-01,1.77
1982-02,1.82
1982-03,1.84
1982-04,1.86
1982-05,1.81
1982-06,1.9
1982-07,1.93
1982-08,1.94
1982-09,1.96
1982-10,1.99
1982-11,2.0
1982-12,1.94
1983-01,1.92
1983-02,1.97
1983-03,1.98
1983-04,1.99
1983-05,1.99
1983-06,1.99
1983-07,2.0
1983-08,1.98
1983-09,1.99
1983-10,1.97
1983-11,1.99
1983-12,1.99
1984-01,2.05
1984-02,2.06
1984-03,2.06
1984-04,2.09
1984-05,2.19
1984-06,2.22
1984-07,2.3
1984-08,2.37
1984-09,2.55
1984-10,2.65
1984-11,2.68
1984-12,2.8
1985-01,2.82
1985-02,2.83
1985-03,2.85
1985-04,2.85
1985-05,2.86
1985-06,2.87
1985-07,2.88
1985-08,2.91
1985-09,2.97
1985-10,3.08
1985-11,3.21
1985-12,3.21
1986-01,3.21
1986-02,3.22
1986-03,3.22
1986-04,3.21
1986-05,3.2
1986-06,3.21
1986-07,3.64
1986-08,3.71
1986-09,3.72
1986-10,3.73
1986-11,3.73
1986-12,3.73
1987-01,3.73
1987-02,3.73
1987-03,3.73
1987-04,3.73
1987-05,3.73
1987-06,3.73
1987-07,3.73
1987-08,3.73
1987-09,3.73
1987-10,3.73
1987-11,3.73
1987-12,3.73
1988-01,3.73
1988-02,3.73
1988-03,3.73
1988-04,3.73
1988-05,3.73
1988-06,3.73
1988-07,3.73
1988-08,3.73
1988-09,3.73
1988-10,3.73
1988-11,3.73
1988-12,3.73
1989-01,3.73
1989-02,3.73
1989-03,3.73
1989-04,3.73
1989-05,3.73
1989-06,3.73
1989-07,3.73
1989-08,3.73
1989-09,3.73
1989-10,3.73
1989-11,3.73
1989-12,4.18
1990-01,4.73
1990-02,4.73
1990-03,4.73
1990-04,4.73
1990-05,4.73
1990-06,4.73
1990-07,4.73
1990-08,4.73
1990-09,4.73
1990-10,4.73
1990-11,4.97
1990-12,5.24
1991-01,5.24
1991-02,5.24
