date,open,high,low,close,month
1986-01-31,124.18,125.21,121.03,121.52,1986-01
1986-02-28,121.78,123.26,113.45,115.08,1986-02
1986-03-31,114.94,118.71,113.66,117.92,1986-03
1986-04-30,117.78,121.16,110.76,111.77,1986-04
1986-05-31,112.28,117.65,110.35,117.51,1986-05
1986-06-30,117.83,118.03,111.34,111.61,1986-06
1986-07-31,111.26,112.09,107.98,108.04,1986-07
1986-08-31,107.85,108.72,106.31,106.43,1986-08
1986-09-30,106.33,108.98,104.92,106.74,1986-09
1986-10-31,106.83,109.77,104.99,109.27,1986-10
1986-11-30,109.67,109.69,105.91,105.92,1986-11
1986-12-31,105.53,107.94,103.55,103.58,1986-12
1987-01-31,103.4,104.35,97.19,99.86,1987-01
1987-02-28,99.29,101.21,97.87,99.26,1987-02
1987-03-31,99.17,100.44,96.81,97.11,1987-03
1987-04-30,97.73,98.44,95.25,95.94,1987-04
1987-05-31,95.83,97.91,94.75,97.77,1987-05
1987-06-30,98.3,99.06,96.0,98.13,1987-06
1987-07-31,98.03,100.23,97.97,99.79,1987-07
1987-08-31,99.77,101.74,96.95,97.32,1987-08
1987-09-30,97.04,98.69,95.97,98.57,1987-09
1987-10-31,98.63,98.81,93.26,93.65,1987-10
1987-11-30,93.24,93.36,89.03,89.15,1987-11
1987-12-31,89.99,90.79,85.33,85.42,1987-12
1988-01-31,85.9,90.81,85.87,90.34,1988-01
1988-02-29,90.88,92.04,90.3,90.53,1988-02
1988-03-31,90.55,90.96,88.16,88.3,1988-03
1988-04-30,88.37,90.12,87.87,89.16,1988-04
1988-05-31,89.3,91.12,88.94,91.09,1988-05
1988-06-30,90.86,96.09,90.49,95.41,1988-06
1988-07-31,95.94,98.6,95.07,97.53,1988-07
1988-08-31,97.42,99.61,96.86,98.42,1988-08
1988-09-30,98.55,98.83,96.83,97.69,1988-09
1988-10-31,97.65,97.65,92.82,93.76,1988-10
1988-11-30,93.69,93.96,90.05,90.53,1988-11
1988-12-31,90.5,93.66,90.04,92.5,1988-12
1989-01-31,91.93,96.84,91.77,96.77,1989-01
1989-02-28,96.68,97.17,94.39,94.9,1989-02
1989-03-31,95.64,98.53,95.57,98.14,1989-03
1989-04-30,98.01,98.04,96.11,97.71,1989-04
1989-05-31,98.06,104.28,97.89,102.98,1989-05
1989-06-30,103.08,106.56,100.66,102.02,1989-06
1989-07-31,101.21,101.24,97.29,97.39,1989-07
1989-08-31,97.46,102.46,96.76,102.28,1989-08
1989-09-30,102.43,104.19,98.06,98.47,1989-09
1989-10-31,98.68,101.31,97.49,98.07,1989-10
1989-11-30,98.16,99.06,96.13,96.27,1989-11
1989-12-31,96.52,96.65,92.6,93.21,1989-12
1990-01-31,93.13,94.54,91.89,92.41,1990-01
1990-02-28,92.32,93.45,91.26,93.29,1990-02
1990-03-31,93.67,94.72,93.23,93.69,1990-03
1990-04-30,94.28,94.32,92.71,93.07,1990-04
1990-05-31,93.23,93.3,90.66,92.98,1990-05
1990-06-30,92.86,93.36,91.16,91.19,1990-06
1990-07-31,90.75,90.75,87.2,87.27,1990-07
1990-08-31,87.44,88.79,84.96,86.57,1990-08
1990-09-30,86.61,87.32,84.93,85.94,1990-09
1990-10-31,85.16,85.5,81.96,83.29,1990-10
1990-11-30,83.51,83.62,81.27,82.92,1990-11
1990-12-31,83.52,85.06,81.73,83.12,1990-12
1991-01-31,82.93,85.22,81.91,82.02,1991-01
1991-02-28,82.18,84.23,80.34,84.11,1991-02
1991-03-31,84.71,92.48,84.23,91.99,1991-03
1991-04-30,91.32,94.47,89.29,91.58,1991-04
1991-05-31,91.17,93.58,90.74,93.13,1991-05
1991-06-30,93.73,96.75,93.02,96.01,1991-06
1991-07-31,96.07,97.32,92.89,93.49,1991-07
1991-08-31,93.62,96.59,91.85,93.5,1991-08
1991-09-30,93.18,93.31,89.65,89.94,1991-09
1991-10-31,90.01,92.03,89.39,89.93,1991-10
1991-11-30,89.72,89.73,86.26,88.19,1991-11
1991-12-31,87.54,87.87,83.21,83.53,1991-12
1992-01-31,83.35,88.68,82.79,87.41,1992-01
1992-02-29,87.14,89.92,85.21,89.01,1992-02
