month,xag_usd
2006-07,11.2
2006-08,12.3
2006-09,11.6
2006-10,11.6
2006-11,13.0
2006-12,13.2
2007-01,12.9
2007-02,13.9
2007-03,13.1
2007-04,13.7
2007-05,13.2
2007-06,13.1
2007-07,12.9
2007-08,12.3
2007-09,12.9
2007-10,13.7
2007-11,14.7
2007-12,14.4
2008-01,16.0
2008-02,17.7
2008-03,19.1
2008-04,17.5
2008-05,17.1
2008-06,17.0
2008-07,18.1
2008-08,14.5
2008-09,12.3
2008-10,10.4
2008-11,9.9
2008-12,10.4
2009-01,11.4
2009-02,13.4
2009-03,13.2
2009-04,12.5
2009-05,14.1
2009-06,14.6
2009-07,13.4
2009-08,14.4
2009-09,16.1
2009-10,17.2
2009-11,17.9
2009-12,17.6
2010-01,17.8
2010-02,15.8
2010-03,17.1
2010-04,18.1
2010-05,18.4
2010-06,18.4
2010-07,17.9
2010-08,18.4
2010-09,20.6
2010-10,23.5
2010-11,26.7
2010-12,29.3
2011-01,28.5
2011-02,31.1
2011-03,35.9
2011-04,43.1
2011-05,36.8
2011-06,35.7
2011-07,38.1
2011-08,40.3
2011-09,38.0
2011-10,32.1
2011-11,33.2
2011-12,30.1
2012-01,30.8
2012-02,34.2
2012-03,33.0
2012-04,31.6
2012-05,28.8
2012-06,28.1
2012-07,27.4
2012-08,28.9
2012-09,33.8
2012-10,33.1
2012-11,32.8
2012-12,31.7
2013-01,31.1
2013-02,30.2
2013-03,28.8
2013-04,25.3
2013-05,23.1
2013-06,21.1
2013-07,19.7
2013-08,22.1
2013-09,22.6
2013-10,22.0
2013-11,20.7
2013-12,19.6
2014-01,19.9
2014-02,20.9
2014-03,20.6
2014-04,19.7
2014-05,19.3
2014-06,19.9
2014-07,20.9
2014-08,19.7
2014-09,18.4
2014-10,17.2
2014-11,16.0
2014-12,16.2
2015-01,17.1
2015-02,16.8
2015-03,16.3
2015-04,16.4
2015-05,16.8
2015-06,16.1
2015-07,15.1
2015-08,14.9
2015-09,14.7
2015-10,15.8
2015-11,14.4
2015-12,14.1
2016-01,14.1
2016-02,15.1
2016-03,15.4
2016-04,16.3
2016-05,16.8
2016-06,17.2
2016-07,20.0
2016-08,19.5
2016-09,19.3
2016-10,17.6
2016-11,17.4
2016-12,16.3
2017-01,16.8
2017-02,17.9
2017-03,17.6
2017-04,18.0
2017-05,16.8
2017-06,16.9
2017-07,16.2
2017-08,16.9
2017-09,17.4
2017-10,16.9
2017-11,17.0
2017-12,16.2
2018-01,17.1
2018-02,16.6
2018-03,16.4
2018-04,16.6
2018-05,16.5
2018-06,16.5
2018-07,15.7
2018-08,15.0
2018-09,14.3
2018-10,14.6
2018-11,14.3
2018-12,14.7
2019-01,15.6
2019-02,15.8
2019-03,15.3
2019-04,15.0
2019-05,14.6
2019-06,15.0
2019-07,15.8
2019-08,17.2
2019-09,18.1
2019-10,17.6
2019-11,17.1
2019-12,17.2
2020-01,18.0
2020-02,17.8
2020-03,14.9
2020-04,15.1
2020-05,16.3
2020-06,17.7
2020-07,20.6
2020-08,27.0
2020-09,25.8
2020-10,24.2
2020-11,24.0
2020-12,25.0
2021-01,25.9
2021-02,27.3
2021-03,25.6
2021-04,25.6
2021-05,27.5
2021-06,26.9
2021-07,25.7
2021-08,24.0
2021-09,23.2
2021-10,23.4
2021-11,24.1
2021-12,22.5
2022-01,23.1
2022-02,23.5
2022-03,25.3
2022-04,24.6
2022-05,21.9
2022-06,21.5
2022-07,19.1
2022-08,19.7
2022-09,18.9
2022-10,19.4
2022-11,21.1
2022-12,23.3
2023-01,23.7
2023-02,21.9
2023-03,22.0
2023-04,25.1
2023-05,24.2
2023-06,23.4
2023-07,24.1
2023-08,23.4
2023-09,23.1
2023-10,22.3
2023-11,23.5
2023-12,23.9
2024-01,22.9
2024-02,22.7
2024-03,24.5
2024-04,27.5
2024-05,29.5
2024-06,29.6
2024-07,29.8
2024-08,28.5
2024-09,30.0
2024-10,32.5
2024-11,31.0
2024-12,30.3
2025-01,30.4
2025-02,32.1
2025-03,33.2
2025-04,32.2
2025-05,32.8
2025-06,36.0
2025-07,37.7
2025-08,38.1
2025-09,42.7
2025-10,49.4
2025-11,50.8
2025-12,65.2
2026-01,91.7
2026-02,81.8
2026-03,78.0
2026-04,75.8
2026-05,77.9
2026-06,66.0
2026-07,58.9
